sigla_provincia;codice_istat;denominazione_ita_altra;denominazione_ita;denominazione_altra;flag_capoluogo;codice_belfiore;lat;lon;superficie_kmq;codice_sovracomunale
TO;001001;Agliè;Agliè;;NO;A074;45,3634368;7,7685999;13,1462;201
TO;001002;Airasca;Airasca;;NO;A109;44,9168832;7,4844311;15,7393;201
TO;001003;"Ala di Stura";"Ala di Stura";;NO;A117;45,3151133;7,3043438;46,3315;201
TO;001004;"Albiano d'Ivrea";"Albiano d'Ivrea";;NO;A157;45,4338982;7,9491448;11,7314;201
TO;001006;Almese;Almese;;NO;A218;45,1176634;7,3951819;17,8756;201
TO;001007;Alpette;Alpette;;NO;A221;45,4099867;7,5785972;5,6261;201
TO;001008;Alpignano;Alpignano;;NO;A222;45,0944696;7,5242673;11,9193;201
TO;001009;Andezeno;Andezeno;;NO;A275;45,0358599;7,8699487;7,4860;201
TO;001010;Andrate;Andrate;;NO;A282;45,5283810;7,8738392;9,3085;201
TO;001011;Angrogna;Angrogna;;NO;A295;44,8434461;7,2242923;38,8782;201
TO;001012;Arignano;Arignano;;NO;A405;45,0440280;7,9024464;8,1668;201
TO;001013;Avigliana;Avigliana;;NO;A518;45,0793571;7,3963234;23,2172;201
TO;001014;Azeglio;Azeglio;;NO;A525;45,4248665;7,9947706;9,9605;201
TO;001015;Bairo;Bairo;;NO;A584;45,3862534;7,7569180;7,0859;201
TO;001016;Balangero;Balangero;;NO;A587;45,2700324;7,5193095;13,0063;201
TO;001017;"Baldissero Canavese";"Baldissero Canavese";;NO;A590;45,4084080;7,7444444;4,5064;201
TO;001018;"Baldissero Torinese";"Baldissero Torinese";;NO;A591;45,0684227;7,8178077;15,4054;201
TO;001019;Balme;Balme;;NO;A599;45,3022970;7,2183140;62,7105;201
TO;001020;Banchette;Banchette;;NO;A607;45,4608553;7,8565637;2,0289;201
TO;001021;Barbania;Barbania;;NO;A625;45,2905029;7,6305109;12,8027;201
TO;001022;Bardonecchia;Bardonecchia;;NO;A651;45,0781688;6,7038239;132,2030;201
TO;001023;"Barone Canavese";"Barone Canavese";;NO;A673;45,3277288;7,8705562;3,9864;201
TO;001024;Beinasco;Beinasco;;NO;A734;45,0220777;7,5791581;6,7343;201
TO;001025;Bibiana;Bibiana;;NO;A853;44,7975756;7,2897861;18,5979;201
TO;001026;"Bobbio Pellice";"Bobbio Pellice";;NO;A910;44,8077018;7,1179046;94,0819;201
TO;001027;Bollengo;Bollengo;;NO;A941;45,4733626;7,9453487;14,2234;201
TO;001028;"Borgaro Torinese";"Borgaro Torinese";;NO;A990;45,1519831;7,6578944;11,1039;201
TO;001029;Borgiallo;Borgiallo;;NO;B003;45,4168178;7,6677336;6,9648;201
TO;001030;"Borgofranco d'Ivrea";"Borgofranco d'Ivrea";;NO;B015;45,5130128;7,8585220;13,4189;201
TO;001031;Borgomasino;Borgomasino;;NO;B021;45,3615550;7,9887996;12,3712;201
TO;001032;"Borgone Susa";"Borgone Susa";;NO;B024;45,1231397;7,2412140;4,9617;201
TO;001033;Bosconero;Bosconero;;NO;B075;45,2685663;7,7650698;10,9190;201
TO;001034;Brandizzo;Brandizzo;;NO;B121;45,1776535;7,8414756;6,2914;201
TO;001035;Bricherasio;Bricherasio;;NO;B171;44,8255775;7,3028877;22,7585;201
TO;001036;Brosso;Brosso;;NO;B205;45,4927657;7,8033343;11,1350;201
TO;001037;Brozolo;Brozolo;;NO;B209;45,1174194;8,0712784;8,9504;201
TO;001038;Bruino;Bruino;;NO;B216;45,0202313;7,4676911;5,5701;201
TO;001039;Brusasco;Brusasco;;NO;B225;45,1559558;8,0600942;14,3592;201
